Position,Track Name,Artist,Streams,URL
82,SLOW DANCING IN THE DARK,Joji,348197,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
83,BEST ON EARTH (feat. BIA) - Bonus,Russ,347853,https://open.spotify.com/track/0xKBkLcF71uUQeTA7FSu4A
84,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,346377,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
85,Death,Trippie Redd,343266,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y
86,Murder On My Mind,YNW Melly,338447,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
87,Maniac,Conan Gray,333710,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
88,Drip Too Hard (Lil Baby & Gunna),Lil Baby,332827,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
89,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,331746,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
90,Hate Me (with Juice WRLD),Ellie Goulding,331615,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
91,Vete,Bad Bunny,327697,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
92,RITMO (Bad Boys For Life),The Black Eyed Peas,325515,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
93,Anyone,Demi Lovato,324224,https://open.spotify.com/track/18ssFhD04lWo1RzpcohnrG
94,Jocelyn Flores,XXXTENTACION,323263,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
95,SICKO MODE,Travis Scott,319858,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
96,Pop Out (feat. Lil Tjay),Polo G,319518,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
97,Yellow Hearts,Ant Saunders,318967,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
98,The London (feat. J. Cole & Travis Scott),Young Thug,318618,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
99,Blue World,Mac Miller,314444,https://open.spotify.com/track/2hwOoMtWPtTSSn6WHV7Vp5
100,Legends,Juice WRLD,313770,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
101,I Don't Sleep (ft. Takeoff),Lil Wayne,311606,https://open.spotify.com/track/03TzvVWdkVbLT9pzewYiDw
102,F.N,Lil Tjay,309758,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
103,I Fall Apart,Post Malone,308641,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
104,ocean eyes,Billie Eilish,307909,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
105,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,307509,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
106,SAD!,XXXTENTACION,307499,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
107,Hips Don't Lie (feat. Wyclef Jean),Shakira,307193,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V
108,Peta (feat. Meek Mill),Roddy Ricch,305061,https://open.spotify.com/track/4bl1HBZliBuYpFZjWgefE4
109,Without Me,Halsey,304961,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
110,7 rings,Ariana Grande,302841,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
111,rockstar (feat. 21 Savage),Post Malone,299658,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
112,Falling,Harry Styles,299320,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
113,Lights Up,Harry Styles,299262,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
114,Enemies (feat. DaBaby),Post Malone,297403,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
115,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,296949,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
116,Diva (feat. Lil Tecca),The Kid LAROI,296326,https://open.spotify.com/track/7gVwgc8b3XnO87TpmXXFA5
117,One Man Band,Old Dominion,293000,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
118,You Need To Calm Down,Taylor Swift,292782,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
119,Beautiful People (feat. Khalid),Ed Sheeran,292062,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
120,Black Swan,BTS,288129,https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b
121,How I Move (feat. Lil Baby),Flipp Dinero,287378,https://open.spotify.com/track/14X1WxiHXdVRJ99cMCBzOE
122,Juicy (feat. Tyga),Doja Cat,282128,https://open.spotify.com/track/7f5trao56t7sB7f14QDTmp
123,Better Now,Post Malone,281635,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
124,I Don't Care (with Justin Bieber),Ed Sheeran,281079,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
125,bury a friend,Billie Eilish,280668,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
126,i love you,Billie Eilish,279981,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
127,6 Kiss,Trippie Redd,278956,https://open.spotify.com/track/7tgjDlQsMR8RvkdlNCJA58
128,Talk (feat. Disclosure),Khalid,278930,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
129,Lalala,Y2K,278778,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
130,Eastside (with Halsey & Khalid),benny blanco,278739,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
131,Armed And Dangerous,Juice WRLD,276362,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
132,Sucker,Jonas Brothers,273704,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
133,Sanguine Paradise,Lil Uzi Vert,272573,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
134,One Thing Right,Marshmello,272446,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
135,Graveyard,Halsey,271331,https://open.spotify.com/track/2ufmtcIFdFpuUYBPXK5f67
136,Panini,Lil Nas X,271085,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
137,It's You,Ali Gatie,269594,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
138,Speechless,Dan + Shay,269581,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
139,goosebumps,Travis Scott,268779,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
140,Old Town Road - Remix,Lil Nas X,266853,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
141,Cash Shit (feat. DaBaby),Megan Thee Stallion,266804,https://open.spotify.com/track/2rMAtCaTj16NptyVfEIeAC
142,Fuck Love (feat. Trippie Redd),XXXTENTACION,266461,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
143,Hot (feat. Gunna),Young Thug,264384,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
144,Beautiful Crazy,Luke Combs,264060,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
145,VALENTINO,24kGoldn,263314,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
146,U Played (feat. Lil Baby),Moneybagg Yo,262992,https://open.spotify.com/track/7qeWNGBqqagdwf4KnjRzGZ
147,Lean Wit Me,Juice WRLD,261457,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
148,XO Tour Llif3,Lil Uzi Vert,260212,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
149,Never Seen the Rain,Tones and I,259072,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
150,Whiskey Glasses,Morgan Wallen,258956,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
151,B.I.T.C.H.,Megan Thee Stallion,257107,https://open.spotify.com/track/06scTb0zbkxYNgpAB3J9fN
152,wish you were gay,Billie Eilish,257055,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
153,Best Part (feat. Daniel Caesar),H.E.R.,256426,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
154,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,256182,https://open.spotify.com/track/6ztvsy3C6hPjVg9j4x1XKJ
155,Callaita,Bad Bunny,256137,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
156,Better,Khalid,255315,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
157,Heartless (feat. Morgan Wallen),Diplo,252975,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
158,Yes Indeed,Lil Baby,252476,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
159,I.F.L.Y.,Bazzi,252079,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
